pixel_id,x,y,acc,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9
60,2,4,0.9344285714285714,0.044676098287416255,0.03374999999999995,0.09202898550724636,0.07606420097697142,0.0517374517374517,0.0706991358994501,0.045128939828080195,0.06852960745176317,0.07000736919675754,0.10563380281690138
61,2,5,0.9445,0.026805658972449686,0.02562500000000001,0.06811594202898552,0.05861828332170271,0.07722007722007718,0.05341712490180672,0.05945558739255019,0.07651363938789091,0.06337509211495951,0.04929577464788737
62,2,6,0.9451428571428572,0.02010424422933732,0.03937500000000005,0.04275362318840581,0.05931612002791342,0.08880308880308885,0.0463472113118617,0.04226361031518622,0.055888223552894245,0.10169491525423724,0.055633802816901445
63,2,7,0.9427857142857143,0.0387192851824274,0.028124999999999956,0.08405797101449275,0.09560362875087225,0.04787644787644785,0.06362922230950507,0.045845272206303744,0.06387225548902198,0.0420044215180545,0.06408450704225355
64,2,8,0.9490714285714286,0.011913626209977712,0.03312499999999996,0.06521739130434778,0.052337752965806006,0.07027027027027022,0.03692065985860171,0.03151862464183386,0.053892215568862256,0.0854826823876198,0.07042253521126762
65,2,9,0.9434285714285714,0.02978406552494417,0.02749999999999997,0.08985507246376812,0.06629448709002095,0.07490347490347493,0.03220738413197177,0.034383954154727836,0.07717897538256824,0.08695652173913049,0.048591549295774694
66,2,10,0.9472142857142857,0.028294862248696928,0.02749999999999997,0.08478260869565213,0.06280530355896718,0.06486486486486487,0.05184603299293011,0.04727793696275073,0.05788423153692612,0.06116433308769342,0.04507042253521132
67,2,11,0.9488571428571428,0.035740878629933026,0.020625000000000004,0.07391304347826089,0.06001395673412424,0.05868725868725866,0.05655930871956005,0.03653295128939826,0.03992015968063867,0.05526897568165068,0.0795774647887324
68,2,12,0.9305714285714286,0.06850335070737157,0.04125000000000001,0.07681159420289851,0.10467550593161201,0.07953667953667953,0.09505106048703849,0.04154727793696278,0.06387225548902198,0.07148120854826823,0.058450704225352146
69,2,13,0.9422142857142857,0.056589724497393856,0.03374999999999995,0.04637681159420293,0.07745987438939284,0.08803088803088799,0.058130400628436774,0.025787965616045794,0.06653359946773119,0.05158437730287402,0.07746478873239437
